id	nev
SB.7380	Szósz Boglárka
MM.7225	Miklósi Miklós
ÁD.1122	Árva Dóra
PG.8846	Pótz Győző
SJ.8094	Savanya Judit
VS.7756	Varga Szimonetta
AJ.0935	Almási Jenő
PL.8174	Püski László
LK.8140	Lovai Kálmán
EA.6644	Eszes Albert
SE.5166	Seprenyi Edit
KN.4319	Koch Nikolett
LN.4151	Lengyel Nóra Kata
VE.3175	Vincze Eszter
SL.7295	Szedlacsek Luca
HA.6109	Halmos Anikó
KA.2208	Kovács Annamária
BK.0518	Bitó Kálmán
BA.1855	Benedek Attila
DR.0586	Dombovári Réka
SN.0628	Szőke Noémi Eszter
SZ.2526	Senkey Zsuzsanna
ÖK.7126	Ördög Kálmán
TE.5035	Tóth Eszter
SL.0974	Stofin Luca Lídia
DK.7517	Debreceni Kata
KK.6508	Komlósi Katalin
JA.0000	Jónás Alexandra
CL.2002	Csonka Lili Lujza
IB.7575	Illés Béla
OZ.4473	Orosz Zita Ildikó
BT.4289	Bogdándi Tamara
HO.9226	Herédi Orsolya
VK.5984	Virág Katalin
SA.4395	Sebok Anna
VP.1210	Várkonyi Paulina
SK.7549	Sós Krisztián
KL.3902	Kovács Lilla Krisztina
BE.0806	Blum Emil
MR.0674	Molnár Roland
CI.3333	Csordás István
DP.2664	Dobó Péter
SG.2482	Sarlós György
BE.0864	Bedő Emil
DT.3892	Dömötör Tamás
KT.7545	Kiss Tímea
HL.9827	Haraszti Lilla
KR.2297	Kozmann Réka
SG.6461	Szűcs Géza
BJ.2171	Bodosi Júlia Anna
TN.1238	Tánczos Nóra
NS.4608	Nyíl Szonja
TD.1781	Tóth Dorottya
FS.9718	Fodor Sára Réka
HL.5256	Hegedűs Lilla
LN.8991	Lakatos Noémi
OI.5285	Olasz István
TL.5319	Tóth Luca
GD.2000	Gyurcsik Dorina
ZV.6094	Zombori Vanessza
BB.4956	Bóka Bernadett
PR.7953	Pálos Réka
JT.2233	Jenei Tibor
PZ.1760	Patyi Zita
SA.3491	Schaff Aladár
SG.4287	Szabó Gyöngyi
LG.7708	Lózung Gábor
FK.0490	Farkas Karl
KT.5463	Kővágó Temir
KG.2387	Kisó Gábor
MV.6897	Mészáros Viola
MR.4488	Máté Róbert
HA.5132	Horváth Annamária
ST.7445	Szántó Tünde Tímea
BT.1841	Bózsó Tamás
PF.7375	Papp Fanni Erika
NP.5412	Nyers Péter
NL.4599	Nagy Lajos
VG.2373	Vastag Georgina
KB.1685	Kovács Blanka
KR.0630	Kállai Réka
KO.5545	Kerekes Ottó
TZ.2930	Tan Zoltán
BJ.6683	Bakos Jácint
FI.0444	Fábián Imre
TR.0881	Tóti Réka Evelin
VZ.6218	Varga Zsuzsanna
FV.9396	Fekete Vivien
PC.4269	Pálfi Csilla
LE.2285	Lajkó Elza
VG.9528	Vass Gabriella
BG.0504	Bori Győző
MZ.6513	Mezőlaki Zoltán
FB.9611	Farkas Béla
ND.5203	Nemes Dóra
SÁ.0875	Selmeci Ágnes
CE.9033	Csepp Endre
MM.1932	Mike Mátyás
EH.0733	Esztergályos Henrietta
TL.7601	Török Lóránt
KN.8193	Kónya Nikolett
KL.3512	Kockás Laura
MZ.0921	Molnár Zsigmond
HR.4421	Horváth Rita
BM.8747	Bencsik Mónika
VZ.0162	Veres Zoltán
KP.9436	Késmárky Petra
KP.0837	Kovács Péter
NJ.5694	Nagy József
VA.0512	Vida Adrienn
DD.1631	Deme Daniella
SZ.2133	Sebok Zsófia
BP.4530	Balog Pál
SB.1519	Sipos Borbála
OZ.4561	Ormos Zita Mária
MJ.6976	Mészáros Judit Enikő
PT.6509	Pásztor Tibor
KI.1361	Klaumer István
EL.3713	Erdélyi Lilla
ZE.8808	Zombori Emese
NG.2881	Nagy Georgina
KÁ.8010	Kincses Ágota
NI.0775	Németh Imre
WT.5063	Widek Tamás
TF.3880	Tari Fruzsina
SZ.3265	Szednicsek Zsófia
NN.1187	Nemes Nikolett
NK.4348	Nagy Krisztina
DF.0284	Duma Flóra
DM.1593	Dobi Mónika
BA.7082	Bor Attila
JÁ.0898	Juhász Ákos
SP.3373	Seik Péter
SG.6867	Sebők Gerda
FL.5093	Fábián Lili
VÁ.1907	Varga Árpád
BR.7818	Béla Rebeka Judit
GD.2662	Gors Dóra
GP.7213	Gyulai Petra
GN.4133	Guzmin Natália
MP.1548	Marton Pál
RI.3240	Rém Igor
BC.6620	Beke Csenge Kata
KL.1723	Kószó Laura
ZE.5201	Zsók Emese Zsuzsanna
MK.6085	Makra Kitti Ildikó
SK.9881	Szántó Katinka Mandula
FI.4848	Farkas István
NF.3575	Nagy Flóra
HZ.5970	Herceg Zsolt
KE.1884	Kautzky Evelin
CP.6245	Csáki Pál
SI.5869	Sas Imola
BT.6827	Bitó Tamás
LO.1112	Lukács Orsolya
SK.7904	Siklósi Kálmán
SN.6134	Samu Nóra
SP.7024	Szabó Pál
RV.2715	Révész Viktória
RA.1998	Rómer Andrea
KÁ.7195	Kovács Árpád
ÁE.4776	Ádám Eszter
MB.3857	Molnár Blanka
TA.1306	Tóth Adél
HF.1310	Hajas Fruzsina
WZ.8323	Wollek Zoltán
JC.5136	Juhász Csaba
KF.4505	Koch Ferenc
KA.4781	Kármán Anna Katalin
MN.9696	Molnár Nóra
HZ.1789	Halász Zoltán
TZ.5158	Tari Zsófia Mariann
BP.1705	Bánfi Péter
NF.2425	Nyári Ferenc
FN.9800	Fődi Norbert
RI.9112	Réti Imre
KD.6239	Kincses Dezső
VK.6810	Várkonyi Kata
IR.6871	Ilkei Réka Emese
JR.7464	Juhász Rezső
BR.6915	Bajnai Rita
GA.5549	Gál Anna
SD.4324	Szabados Dezső
SB.4943	Szilágyi Bence
OB.8264	Olajos Boglárka Gyöngyi
KL.4494	Kereki Lilla Sára
KG.6854	Kovács Gábor
JE.5179	Janka Eszter Dalma
DP.6361	Dancs Petra
BD.8119	Barta Dalma
CN.2071	Csapó Nikolett Klára
HB.0756	Horváth Balázs
LL.5799	Lázár Laura
FC.6932	Füst Csenge
FK.6713	Forgó Krisztina
HR.5369	Hegyközi Réka
LG.2970	Ludányi Gábor
TL.8183	Takács Lili
RA.8864	Rácz Anna
BA.2113	Bordás Anna Lili
KM.8913	Komáromi Mátyás
MÉ.0065	Mészáros Éva
TG.7327	Tihanyi Gábor
EB.5954	Erdélyi Brigitta
FG.2306	Forrai Gerda
SÁ.2118	Sári Ágnes
BR.7944	Barna Róbert
SB.9363	Szabó Bettina
FR.6982	Fogó Ramóna
LZ.5815	Lajos Zsolt
BE.1945	Budai Enikő
BG.9979	Balogh Gusztáv
KN.8713	Király Nikolett
BE.4516	Barta Emese
KR.2012	Kis Rebeka Anna
HL.3046	Hódi Lajos
ÉI.1563	Éger Imre
KA.9211	Kristóf Anna
HP.4209	Halmosi Petra
KN.2792	Kiss Noémi Lilla
GA.7092	Gábor Anna
JT.5373	Juhász Tünde Dóra
OZ.6658	Oláh Zsóka
KH.2825	Kemény Henrietta
CB.0357	Császár Beáta
TE.0616	Tárkány Emília
ZM.2168	Zádori Mátyás
KM.6649	Karasi Melinda
SB.9701	Sebestyén Béla
ME.0837	Maróti Enikő
