az	nev	vegetarianus	regdatum	erkido
1	Karasi Norbert	0	2008.03.03	8:51:23
2	Ormos Imre	0	2008.03.04	10:20:43
3	Ferenczi Janka	0	2008.03.04	9:37:39
4	Bencsik Balázs	0	2008.03.04	9:01:47
5	Nagy Dénes	0	2008.03.04	9:22:50
6	Borcsa Tamás	0	2008.03.04	
7	Hamar Julianna	0	2008.03.04	9:57:41
8	Lima Katalin	0	2008.03.04	9:02:45
9	Rudas Csaba	0	2008.03.04	10:45:09
10	Juhász Lajos	0	2008.03.05	8:32:17
11	Halmos Csaba	0	2008.03.05	12:20:53
12	Moli Ákos	-1	2008.03.05	8:42:23
13	Kuti Ottó	0	2008.03.05	9:29:40
14	Lisztes Dalma	0	2008.03.05	10:22:31
15	Csom Csilla	0	2008.03.05	9:16:48
16	Tari Norbert	0	2008.03.05	10:21:39
17	Rákos Krisztián	0	2008.03.06	9:46:38
18	Juhász Judit	0	2008.03.06	10:15:34
19	Bányai Zsolt	0	2008.03.06	9:39:03
20	Jován Izolda	-1	2008.03.06	8:59:03
21	Sima János	-1	2008.03.06	10:09:33
22	Novák Gábor	0	2008.03.06	9:38:27
23	Ilkei Kálmán	0	2008.03.06	8:38:24
24	Kovai Dóra	0	2008.03.06	9:25:00
25	Kovács Tibor	-1	2008.03.06	9:51:02
26	Bor Béla	0	2008.03.06	10:18:06
27	Molnár Szabolcs	0	2008.03.06	9:41:55
28	Kockás Szilvia	0	2008.03.06	9:15:53
29	Várkonyi Ágost	0	2008.03.06	9:58:29
30	Rómer Rezső	0	2008.03.06	10:06:38
31	Szilágyi Mátyás	0	2008.03.06	9:55:01
32	Gyimesi Áron	0	2008.03.06	8:35:56
33	Solti Sándor	0	2008.03.06	10:46:19
34	Pótz Endre	0	2008.03.06	8:48:27
35	Fekete Ákos	0	2008.03.06	10:08:14
36	Spák Diána	-1	2008.03.06	9:16:21
37	Mészáros Anita	0	2008.03.07	8:57:30
38	Somi Róbert	0	2008.03.07	9:10:01
39	Tánczos Márta	0	2008.03.07	9:10:49
40	Vidács Zsolt	0	2008.03.07	10:19:55
41	Pályi István	0	2008.03.07	9:26:03
42	Koch Miklós	0	2008.03.07	9:50:02
43	Rácz Zsolt	0	2008.03.07	10:46:08
44	Bog Ábel	0	2008.03.07	10:36:42
45	Buda Helga	0	2008.03.07	10:36:13
46	Kosztolányi Gyöngyvér	0	2008.03.07	9:03:10
