id	nev	utca	hsz
1	Skvar Tamás	Rezeda utca	56/b
2	Tatár István	Beszédes József sétány	3
3	Siket Karen	Arany János utca	50
4	Horváth Mercédesz	Sztráda utca	12/2
5	Dombovári Petra	Madách Imre utca	14
6	Rém Elek	Kézműves utca	47
7	Kamarás Zsófia Viktória	Bakony utca	43
8	Sebő Tas	Hermann Ottó utca	28
9	Szendrődi Csaba	Vilma utca	70
10	Berger Péter	Fenyves tér	14
11	Csonka Anna	Vak Bottyán utca	66/a
12	Szelei Anikó Dorina	Máté utca	85
13	Kovács Ágnes	Diófás út	41
14	Szőke Mátyás	Béri Balogh Ádám utca	78/c
15	Kiss Zsófia	Somfa utca	72
16	Bakos Kata Judit	Kinga utca	28
17	Bodnár Anna Katalin	Jegenye sor	16
18	Keszthelyi Zsolt	Templom utca	60
19	Kiss Lajos	Huba utca	42
20	Szabó Orsolya Virág	Majoros utca	63
21	Vég Kálmán	Aradi utca	6
22	Hirzer Zsolt	Örsi utca	38
23	Kincses Zoltán	Birs utca	59
24	Zentay Réka	Széchenyi utca	68
25	Kovai Róbert	Herman Ottó utca	55
26	Koch Róbert	Pusztatorony tér	25
27	Szilágyi István	Kiss János altábornagy utca	10
28	Horváth Pál	Juhász Gyula utca	4
29	Duma Árpád	Vak Bottyán utca	66/a
30	Nemes Gerda	Szegfű utca	72
31	Zsolnai Péter	Béke utca	70
32	Illés Nóra	Rizling utca	15
33	Fődi Anna	Partfölei utca	84
34	Szűcs Lóránt	Akácfa utca	77
35	Borsos Anett	Tavasz utca	27
36	Sarlós Róbert	Diós tér	29
37	Hoffmann Bettina	Koch Róbert utca	22
38	Farkas Ildikó	Madarász Viktor utca	8
39	Gál Brigitta	Tulipán utca	79
40	Szabó Izabella Diána	Marosi út	35
41	Rácz Lili	Klapka György utca	82
42	Botos Noémi	Töreki uca	47
43	Kasznár Judit	Móra Ferenc utca	45
44	Lengyel Zsófia	Clark Ádám utca	15
45	Kerekes Lili	Eperfa utca	31
46	Kis Barbara Emma	Árpád utca	22
47	Vida Csongor	Márton köz	28
48	Nagy Eszter	Erkel Ferenc utca	52
49	Benkő Kata Enikő	Taksony utca	6
50	Urbán Roland	Sáros utca	44
51	Samu Blanka	Orgona utca	52
